True persona,True name,True surname,Text,Correct,Predicted persona,Predicted surname,Predicted name
http://dati.camera.it/ocd/persona.rdf/p4120,RICCARDO,MISASI,MISASI RICCARDO ,True,http://dati.camera.it/ocd/persona.rdf/p4120,MISASI,RICCARDO
http://dati.camera.it/ocd/persona.rdf/p33770,PIETRO,MITA,MITA PIETRO V C P A A F C ,True,http://dati.camera.it/ocd/persona.rdf/p33770,MITA,PIETRO
http://dati.camera.it/ocd/persona.rdf/p33780,ENRICO,MODIGLIANI,MODIGLIANI ENRICO F P F F F ,True,http://dati.camera.it/ocd/persona.rdf/p33780,MODIGLIANI,ENRICO
http://dati.camera.it/ocd/persona.rdf/p33790,MARIA,MOIOLI,MOIOLI VIGANO* MARIOLINA V F P F F F F ,True,http://dati.camera.it/ocd/persona.rdf/p33790,MOIOLI,MARIA
http://dati.camera.it/ocd/persona.rdf/p30130,LUIGI,MOMBELLI,MOMBELLI LUIGI ,True,http://dati.camera.it/ocd/persona.rdf/p30130,MOMBELLI,LUIGI
http://dati.camera.it/ocd/persona.rdf/p30150,PAOLO,MONELLO,MONELLO PAOLO P F A F F ,True,http://dati.camera.it/ocd/persona.rdf/p30150,MONELLO,PAOLO
http://dati.camera.it/ocd/persona.rdf/p60518,GIOVANNI,MONGIELLO,MONGIELLO GIOVANNI V F P F F ,True,http://dati.camera.it/ocd/persona.rdf/p60518,MONGIELLO,GIOVANNI
http://dati.camera.it/ocd/persona.rdf/p25160,ELENA,MONTECCHI,MONTECCHI ELENA V F ,True,http://dati.camera.it/ocd/persona.rdf/p25160,MONTECCHI,ELENA
http://dati.camera.it/ocd/persona.rdf/p33800,GIANFRANCO,MORGANDO,MORGANDO GIANFRANCO ,True,http://dati.camera.it/ocd/persona.rdf/p33800,MORGANDO,GIANFRANCO
http://dati.camera.it/ocd/persona.rdf/p33810,GABRIELE,MORI,MORI GABRIELE V F P F F F F ,True,http://dati.camera.it/ocd/persona.rdf/p33810,MORI,GABRIELE
http://dati.camera.it/ocd/persona.rdf/p24030,ANTONIO,MUNDO,MUNDO ANTONIO V F F F ,True,http://dati.camera.it/ocd/persona.rdf/p24030,MUNDO,ANTONIO
http://dati.camera.it/ocd/persona.rdf/p33820,FABIO,MUSSI,MUSSI FABIO V F P F A F F ,True,http://dati.camera.it/ocd/persona.rdf/p33820,MUSSI,FABIO
http://dati.camera.it/ocd/persona.rdf/p33830,ALESSANDRA,MUSSOLINI,MUSSOLINI ALESSANDRA ,True,http://dati.camera.it/ocd/persona.rdf/p33830,MUSSOLINI,ALESSANDRA
http://dati.camera.it/ocd/persona.rdf/p33840,ANGELO,MUZIO,MUZIO ANGELO F P A A F C ,True,http://dati.camera.it/ocd/persona.rdf/p33840,MUZIO,ANGELO
http://dati.camera.it/ocd/persona.rdf/p30180,DOMENICO,NANIA,NANIA DOMENICO P C ,True,http://dati.camera.it/ocd/persona.rdf/p30180,NANIA,DOMENICO
http://dati.camera.it/ocd/persona.rdf/p16280,VITO,NAPOLI,NAPOLI VITO V F P F F F ,True,http://dati.camera.it/ocd/persona.rdf/p16280,NAPOLI,VITO
http://dati.camera.it/ocd/persona.rdf/p30200,CARMINE,NARDONE,NARDQNB CARMINE V F P F A F F ,False,,,
http://dati.camera.it/ocd/persona.rdf/p33850,LUIGI,NEGRI,NEGRI LUIGI ,True,http://dati.camera.it/ocd/persona.rdf/p33850,NEGRI,LUIGI
http://dati.camera.it/ocd/persona.rdf/p33860,RICCARDO,NENCINI,NENCINI RICCARDO ,True,http://dati.camera.it/ocd/persona.rdf/p33860,NENCINI,RICCARDO
http://dati.camera.it/ocd/persona.rdf/p24080,ANNA,NENNA,MENNA D'ANTONIO ANNA V F P F F F F ,False,,,
http://dati.camera.it/ocd/persona.rdf/p24090,RENATO,NICOLINI,NICOLINI RENATO ,True,http://dati.camera.it/ocd/persona.rdf/p24090,NICOLINI,RENATO
http://dati.camera.it/ocd/persona.rdf/p33870,ROSARIO ANTONINO,NICOLOSI,NICOLOSI RINO F F F F ,True,http://dati.camera.it/ocd/persona.rdf/p33870,NICOLOSI,ROSARIO ANTONINO
http://dati.camera.it/ocd/persona.rdf/p21650,GIOVANNI,NONNE,MONNE GIOVANNI i Nominativi i ,True,http://dati.camera.it/ocd/persona.rdf/p21650,NONNE,GIOVANNI
http://dati.camera.it/ocd/persona.rdf/p30230,DIEGO,NOVELLI,NOVELLI DIEGO V F P A F F ,True,http://dati.camera.it/ocd/persona.rdf/p30230,NOVELLI,DIEGO
http://dati.camera.it/ocd/persona.rdf/p24110,FRANCESCO,NUCARA,NOCARA FRANCESCO V F F A ,True,http://dati.camera.it/ocd/persona.rdf/p24110,NUCARA,FRANCESCO
http://dati.camera.it/ocd/persona.rdf/p33880,GASPARE,NUCCIO,NUCCIO GASPARE V F P ,True,http://dati.camera.it/ocd/persona.rdf/p33880,NUCCIO,GASPARE
http://dati.camera.it/ocd/persona.rdf/p16310,ACHILLE,OCCHETTO,OCCHETTO ACHILLE ,True,http://dati.camera.it/ocd/persona.rdf/p16310,OCCHETTO,ACHILLE
http://dati.camera.it/ocd/persona.rdf/p33890,GIANFRANCO MARIA EUGENIO,OCCHIPINTI,OCCHXPINTI GIANFRANCO V F F F F ,True,http://dati.camera.it/ocd/persona.rdf/p33890,OCCHIPINTI,GIANFRANCO MARIA EUGENIO
http://dati.camera.it/ocd/persona.rdf/p33900,GERARDO MARIO,OLIVERIO,OLIVERIO GERARDO MARIO V F P F A F ,True,http://dati.camera.it/ocd/persona.rdf/p33900,OLIVERIO,GERARDO MARIO
http://dati.camera.it/ocd/persona.rdf/p33910,ROSARIO,OLIVO,OLIVO ROSARIO F P ,True,http://dati.camera.it/ocd/persona.rdf/p33910,OLIVO,ROSARIO
http://dati.camera.it/ocd/persona.rdf/p33920,GIOVANNI,ONGARO,QNGARO GIOVANNI ,True,http://dati.camera.it/ocd/persona.rdf/p33920,ONGARO,GIOVANNI
http://dati.camera.it/ocd/persona.rdf/p33930,BENITO,ORGIANA,ORGIANA BENITO V F P F ,True,http://dati.camera.it/ocd/persona.rdf/p33930,ORGIANA,BENITO
http://dati.camera.it/ocd/persona.rdf/p33950,GABRIELE,OSTINELLI,OSTINELLI GABRIELE ,True,http://dati.camera.it/ocd/persona.rdf/p33950,OSTINELLI,GABRIELE
http://dati.camera.it/ocd/persona.rdf/p32020,GIOVANNI,PACIULLO,PACIULLO GIOVANNI V F P F F F F ,True,http://dati.camera.it/ocd/persona.rdf/p32020,PACIULLO,GIOVANNI
http://dati.camera.it/ocd/persona.rdf/p33960,FABIO,PADOVAN,PADOVAN FABIO ,True,http://dati.camera.it/ocd/persona.rdf/p33960,PADOVAN,FABIO
